event_index,event_id,time_index,time_unix_hours,time_utc,time_hkt
5,non_typhoon_monsoon_gale_20220927_20220929,51,462331,2022-09-28T19:00:00Z,2022-09-29T03:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,52,462332,2022-09-28T20:00:00Z,2022-09-29T04:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,53,462333,2022-09-28T21:00:00Z,2022-09-29T05:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,54,462334,2022-09-28T22:00:00Z,2022-09-29T06:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,55,462335,2022-09-28T23:00:00Z,2022-09-29T07:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,56,462336,2022-09-29T00:00:00Z,2022-09-29T08:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,57,462337,2022-09-29T01:00:00Z,2022-09-29T09:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,58,462338,2022-09-29T02:00:00Z,2022-09-29T10:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,59,462339,2022-09-29T03:00:00Z,2022-09-29T11:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,60,462340,2022-09-29T04:00:00Z,2022-09-29T12:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,61,462341,2022-09-29T05:00:00Z,2022-09-29T13:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,62,462342,2022-09-29T06:00:00Z,2022-09-29T14:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,63,462343,2022-09-29T07:00:00Z,2022-09-29T15:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,64,462344,2022-09-29T08:00:00Z,2022-09-29T16:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,65,462345,2022-09-29T09:00:00Z,2022-09-29T17:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,66,462346,2022-09-29T10:00:00Z,2022-09-29T18:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,67,462347,2022-09-29T11:00:00Z,2022-09-29T19:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,68,462348,2022-09-29T12:00:00Z,2022-09-29T20:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,69,462349,2022-09-29T13:00:00Z,2022-09-29T21:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,70,462350,2022-09-29T14:00:00Z,2022-09-29T22:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,71,462351,2022-09-29T15:00:00Z,2022-09-29T23:00:00+08:00
